bin_id,warehouse_id,zone_id,x,y,velocity_rank,sku_id
BIN-000,WH-01,ZONE-A,0,0,7,SKU-0000
BIN-001,WH-01,ZONE-A,1,0,3,SKU-0001
BIN-002,WH-01,ZONE-A,2,0,1,SKU-0002
BIN-003,WH-01,ZONE-A,3,0,7,SKU-0003
BIN-004,WH-01,ZONE-A,4,0,7,SKU-0004
BIN-005,WH-01,ZONE-A,0,1,8,SKU-0000
BIN-006,WH-01,ZONE-A,1,1,2,SKU-0001
BIN-007,WH-01,ZONE-A,2,1,1,SKU-0002
BIN-008,WH-01,ZONE-A,3,1,5,SKU-0003
BIN-009,WH-01,ZONE-A,4,1,4,SKU-0004
BIN-010,WH-01,ZONE-A,0,2,10,SKU-0000
BIN-011,WH-01,ZONE-A,1,2,8,SKU-0001
BIN-012,WH-01,ZONE-A,2,2,5,SKU-0002
BIN-013,WH-01,ZONE-A,3,2,10,SKU-0003
BIN-014,WH-01,ZONE-A,4,2,10,SKU-0004
BIN-015,WH-01,ZONE-A,0,3,1,SKU-0000
BIN-016,WH-01,ZONE-A,1,3,1,SKU-0001
BIN-017,WH-01,ZONE-A,2,3,10,SKU-0002
BIN-018,WH-01,ZONE-A,3,3,2,SKU-0003
BIN-019,WH-01,ZONE-A,4,3,3,SKU-0004
